,event_number,time,event_condition,event_time,event_wait,event_volume,event_action,valve_state,energy_use,water_use,tempering_water_use,      boiler_1_1,boiler_1_2,boiler_1_3,boiler_1_4,boiler_1_5,boiler_1_6,boiler_1_7,boiler_1_8,boiler_1_9,boiler_1_10,boiler_1_11,boiler_1_12,      boiler_2_1,boiler_2_2,boiler_2_3,boiler_2_4,boiler_2_5,boiler_2_6,boiler_2_7,boiler_2_8,boiler_2_9,boiler_2_10,boiler_2_11,boiler_2_12,      boiler_3_1,boiler_3_2,boiler_3_3,boiler_3_4,boiler_3_5,boiler_3_6,boiler_3_7,boiler_3_8,boiler_3_9,boiler_3_10,boiler_3_11,boiler_3_12,      boiler_4_1,boiler_4_2,boiler_4_3,boiler_4_4,boiler_4_5,boiler_4_6,boiler_4_7,boiler_4_8,boiler_4_9,boiler_4_10,boiler_4_11,boiler_4_12,      inlet_temp_strap,inlet_temp_probe,outlet_temp_strap,outlet_temp_probe,thermostat_temp,ambient_temp,tempering_temp,other
243,4,14:34:6 28/6/24,time,14:35:0 28/6/24,,,,closed,212.50,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.27,0.00,0.00,0.00,0.00,68.30,110.00,110.00,110.00,71.93,110.00,110.00,110.00,0.00,32.93,110.00,25.90,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.00,110.00,110.00,0.00,110.00,0.00,67.47,101.67,110.00,110.00,110.00,110.00,110.00,110.00,110.00,22.26,22.90,12.26,32.58,25.81,19.03,18.71,
244,4,14:34:7 28/6/24,time,14:35:0 28/6/24,,,,closed,213.12,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.10,0.00,0.00,0.00,0.00,68.10,110.00,110.00,110.00,72.30,110.00,110.00,110.00,0.00,33.13,110.00,25.93,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.07,110.00,110.00,0.00,110.00,0.00,67.40,101.50,110.00,110.00,110.00,110.00,110.00,110.00,110.00,22.26,21.94,10.65,32.58,25.16,19.03,18.39,
245,4,14:34:8 28/6/24,time,14:35:0 28/6/24,,,,closed,214.37,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.00,0.00,0.00,0.00,0.00,67.57,110.00,110.00,110.00,72.30,110.00,110.00,110.00,0.00,33.13,110.00,25.93,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.07,110.00,110.00,0.00,110.00,0.00,67.40,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,22.90,24.19,14.19,33.23,25.16,19.35,18.39,
246,4,14:34:9 28/6/24,time,14:35:0 28/6/24,,,,closed,215.00,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.70,0.00,0.00,0.00,0.00,67.47,110.00,110.00,110.00,72.03,110.00,110.00,110.00,0.00,33.10,110.00,25.93,110.00,110.00,110.00,110.00,110.00,98.93,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.43,101.20,110.00,110.00,110.00,110.00,110.00,110.00,110.00,16.45,21.61,10.65,32.58,25.48,19.35,18.39,
247,4,14:34:10 28/6/24,time,14:35:0 28/6/24,,,,closed,215.62,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.43,0.00,0.00,0.00,0.00,67.37,110.00,110.00,110.00,72.20,110.00,110.00,110.00,0.00,33.07,110.00,25.90,110.00,110.00,110.00,110.00,110.00,99.03,110.00,110.00,110.00,0.00,110.00,71.10,110.00,110.00,0.00,110.00,0.00,67.40,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,22.26,20.32,1.94,32.90,25.81,19.03,18.71,
248,4,14:34:11 28/6/24,time,14:35:0 28/6/24,,,,closed,216.87,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.87,0.00,0.00,0.00,0.00,67.60,110.00,110.00,110.00,72.07,110.00,110.00,110.00,0.00,33.10,110.00,25.93,110.00,110.00,110.00,110.00,110.00,99.03,110.00,110.00,110.00,0.00,110.00,71.20,110.00,110.00,0.00,110.00,0.00,67.10,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.68,19.68,-13.55,32.26,25.16,19.03,18.39,
249,4,14:34:12 28/6/24,time,14:35:0 28/6/24,,,,closed,217.50,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.63,0.00,0.00,0.00,0.00,67.67,110.00,110.00,110.00,72.10,110.00,110.00,110.00,0.00,33.07,110.00,25.97,110.00,110.00,110.00,110.00,110.00,99.17,110.00,110.00,110.00,0.00,110.00,71.13,110.00,110.00,0.00,110.00,0.00,67.57,101.10,110.00,110.00,110.00,110.00,110.00,110.00,110.00,21.29,20.65,-50.00,31.94,25.16,19.03,18.06,
250,4,14:34:13 28/6/24,time,14:35:0 28/6/24,,,,closed,218.12,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.70,0.00,0.00,0.00,0.00,67.93,110.00,110.00,110.00,72.03,110.00,110.00,110.00,0.00,33.03,110.00,26.07,110.00,110.00,110.00,110.00,110.00,99.03,110.00,110.00,110.00,0.00,110.00,71.23,110.00,110.00,0.00,110.00,0.00,67.33,101.43,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.32,20.97,-50.00,32.90,25.16,19.03,19.03,
251,4,14:34:14 28/6/24,time,14:35:0 28/6/24,,,,closed,219.37,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.53,0.00,0.00,0.00,0.00,67.20,110.00,110.00,110.00,72.13,110.00,110.00,110.00,0.00,32.93,110.00,26.10,110.00,110.00,110.00,110.00,110.00,99.13,110.00,110.00,110.00,0.00,110.00,71.13,110.00,110.00,0.00,110.00,0.00,67.43,101.37,110.00,110.00,110.00,110.00,110.00,110.00,110.00,20.97,21.29,-50.00,32.26,25.48,19.35,18.71,
252,4,14:34:15 28/6/24,time,14:35:0 28/6/24,,,,closed,220.00,48.00,0.00,110.00,110.00,0.00,0.00,0.00,68.67,0.00,0.00,0.00,0.00,67.23,110.00,110.00,110.00,72.07,110.00,110.00,110.00,0.00,33.03,110.00,25.90,110.00,110.00,110.00,110.00,110.00,99.10,110.00,110.00,110.00,0.00,110.00,71.30,110.00,110.00,0.00,110.00,0.00,67.63,101.70,110.00,110.00,110.00,110.00,110.00,110.00,110.00,19.35,20.65,-50.00,32.58,25.48,19.03,17.74,
